,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
18441,DHX36,1.3190388933417383,LINC00607,6.418972247718268,WDR3,2.7579001173536866,SNAP29,0.3419977635832721,TRIL,0.09393413581874356,CWC27,0.9058650138142859
18442,PCDHA11,1.318967841234138,EPO,6.415077796187378,CCL4L1,2.7574334693000653,TUBB4A,0.3419838863801343,LOC644285,0.09390939348838054,LOC100288884,0.9056161028708198
18443,OR5AN1,1.3189674003285774,STXBP5-AS1,6.415040668100228,NDNF,2.757151447116694,MOSMO,0.34194812263521135,FGF3,0.09390736270688564,GGTLC1,0.9056063723375845
18444,FLJ45482,1.3189128696969383,MED12L,6.414136581992168,FLG2,2.757048473177727,OR2G2,0.34192259794419355,MSX2P1,0.09388128474412455,LINC01549,0.9055649656409893
18445,ACD,1.3188654861364058,OR2T35,6.413876739839679,TRIM77,2.7568204079378007,KCNC2,0.34190649853882604,OR10G9,0.093861447149821,ORMDL3,0.9055471351213437
18446,HCRTR1,1.3187385751184677,ALKAL1,6.4138396710526955,ALG1L2,2.7565824201237636,RNU6ATAC,0.3418601114917083,DKFZp434J2031,0.09385882461532553,P4HA3,0.905489744928144
18447,KRTAP3-2,1.3186525108643137,HSPB3,6.41336798004309,ATP1A3,2.7565726611931916,MARCHF8,0.34185717171360436,OR7E24,0.09383391989855279,UFM1,0.9053725250830045
18448,H3-4,1.3184914681120976,MYEOV,6.412141466248452,RHO,2.756415390610562,EBLN1,0.341850387915408,PSD,0.09382527090191803,B4GALNT2,0.9052538586574816
18449,COX14,1.3184757043633988,CST11,6.411805867579549,C20orf173,2.756181134989734,KCNJ2-AS1,0.34181463279182867,ANKRD45,0.09381761568484955,FAM214A,0.9051305287368047
18450,REC114,1.3182068943307086,ABHD12B,6.410747772455844,ZNF804A,2.7560548912541583,LOC338694,0.3418060304461493,LRRC8B,0.093807824465771,SPATA8,0.905125283475103
18451,AK055260,1.3180808147836631,OR10A3,6.409291018303312,PHF20L1,2.7559058992565397,LINC00919,0.3417672304676651,FLJ44838,0.0937907638900841,DRD3,0.9051075376023612
18452,ZNF678,1.31789880593323,TMPRSS11B,6.40771620729924,LOC400968,2.755891053255635,FAM9B,0.34171775235091195,RNF32,0.09378921719368419,PPIC,0.9050702643517908
18453,C21orf84,1.3177488549969378,NOG,6.405829249585807,LOC646484,2.7558382013062652,TMOD3,0.34167871871873756,PLEKHG4B,0.09374857305084215,PPFIBP1,0.9049470638654511
18454,CSF2,1.3170716286995097,FBP2,6.404015648394689,LOC440742,2.75582433355484,LINC00486,0.3416398566895743,SMCR8,0.09368847976514767,ZNF512,0.9048998086678847
18455,CCDC197,1.3169997788903305,GOLGA8IP,6.402042120751658,HOOK3,2.755599211638248,LDC1P,0.3416299273898659,CPA1,0.09368760893029161,AMDHD2,0.9046428256412337
18456,C3orf56,1.3169600155275718,ALG1L2,6.401533412887885,SMPD4,2.7553559839928092,ZFR2,0.34162128803042646,ZNF812P,0.09365921259714949,NIPAL3,0.9042687962092564
18457,LHB,1.3168905470056502,LOC646471,6.401140096047925,WWC2-AS2,2.754556154638395,TTC23L,0.3416162753758334,LRRC37A11P,0.09363989614953518,SMIM26,0.9042094717844363
18458,OR4C13,1.3167518429181317,SLC35F4,6.401013441604834,CNNM2,2.7545070862162016,SPATA16,0.3415709632006477,LGI3,0.0936045874143516,TLR10,0.9041339639542851
18459,LINC01446,1.3166027655505481,KRT4,6.400422733722732,GOLGA6L10,2.754397650082712,CXCL13,0.3415611240256095,LOC100131034,0.09358825171190338,CLEC4A,0.9040514221608338
18460,DUOX2,1.316410983542387,OR4K17,6.400316143330896,MMP20,2.7542814589343987,LINC01599,0.3415509767029546,CRYBA4,0.09357841598074729,ECD,0.9040474616031293
18461,C9orf174,1.3163664900242986,HOXB4,6.398360957037552,PLAAT2,2.753928818614966,ENAM,0.34147369989396825,TRIM58,0.09355291296661648,LINC00427,0.904010365964459
18462,AK294743,1.3162885539227438,C12orf50,6.396285943053804,KRTAP10-9,2.7536966641495746,OR4D9,0.3414406175429297,NDRG4,0.09354603766392024,MYO18A,0.9038879670370327
18463,NCAPD2,1.3162109321512525,CRLF2,6.395833808594574,AGER,2.753508004429635,FOXP2,0.34143766955309773,C11orf44,0.09351193456969527,LAMC1,0.9038544098196358
18464,KRTAP10-10,1.316188185744955,EFCAB13,6.390784238591515,CCDC63,2.7526818579424024,ERAS,0.3414211181722064,CSPP1,0.09350946777517513,RPLP2,0.9037626147104841
18465,GPR153,1.3161140803189684,HEATR2,6.389858734146236,TMEM229A,2.7523328704301817,NOX1,0.34141420784041726,HTR3B,0.09349756578798382,FAM184A,0.9036834764468026
18466,LOC728448,1.3159526049347594,JMJD1C-AS1,6.388754421882798,PRSS56,2.7518523640358192,KRT37,0.341407298989064,PRH1,0.09347737684881952,OR8D2,0.9035578852305148
18467,TCEANC,1.3156843145219712,GH2,6.388048341137091,AQP2,2.7515907387629324,HSPC072,0.3413649618224354,HCN1,0.09346529739207328,LOC644766,0.9035443302215781
18468,MYOD1,1.3154931226016768,PLA2G2E,6.3846049690736395,KRT36,2.751438633278396,GTF2IRD2B,0.3413641881574971,VHLL,0.09346508559778063,IFNG,0.903458657752164
18469,INTS4,1.3154104091239078,OR4A5,6.384444135199964,OR4D10,2.7511402139886463,MSX1,0.3413593030805966,LOC100131131,0.09345768204141729,RRM1,0.9034485551834083
18470,ULK4P3,1.3151939320671986,SULT1C3,6.382928994239475,TTC41P,2.7509861885041555,FGR,0.3413459952276468,NLRP13,0.09345491382659864,OLFML1,0.9032772865572071
18471,DMP1,1.315151116317023,KRT26,6.382477754894272,HUS1B,2.750734502390152,ARMC4,0.3413370350677122,SPTA1,0.09344068594673029,ACAD10,0.9031716760988591
18472,GPS2,1.31471950120556,BLID,6.381692803851379,GPR148,2.7505791380418967,CYP2C18,0.3413271802038074,EGF,0.09343891500895363,BC007360,0.9031687352075052
18473,BUB1B,1.3146910909397622,LOC100128496,6.38104344266424,SLCO6A1,2.7505689268904314,FGF2,0.3412719300843213,CRYBA1,0.09343772881894842,NPR2,0.9031590750465087
18474,SPRR2G,1.3144453324985137,LINC01792,6.38096283523464,BCHE,2.7504992969949384,MGC39545,0.34119576190586137,BMP15,0.09341951352713404,FLACC1,0.9031468158176281
18475,ATXN7,1.3139600965739082,OR2F1,6.379658186807992,CHRNB2,2.7493620830725827,LIPJ,0.3411816592207111,SPINK5,0.09340452371204779,ANXA8,0.9031245874546778
