,gene_Her2_x,score_Her2_x,gene_Her2_y,score_Her2_y
13544,ARNTL2,0.5298136107626545,ARNTL2,0.5298136107626545
13545,PPP4R2,0.5298049446792966,PPP4R2,0.5298049446792966
13546,AARD,0.5297783009192264,AARD,0.5297783009192264
13547,SPATA2,0.5296749416777096,SPATA2,0.5296749416777096
13548,LINC01547,0.5296383430582188,LINC01547,0.5296383430582188
13549,RAP2B,0.5295946442161583,RAP2B,0.5295946442161583
13550,STK38,0.5295863864644174,STK38,0.5295863864644174
13551,TYMSOS,0.5295597774020261,TYMSOS,0.5295597774020261
13552,LINC00472,0.5295538539291218,LINC00472,0.5295538539291218
13553,PLXDC1,0.5295085780779,PLXDC1,0.5295085780779
13554,LINC00158,0.5295014519465625,LINC00158,0.5295014519465625
13555,PPIF,0.5294802066658089,PPIF,0.5294802066658089
13556,MAGEE2,0.5294760130636317,MAGEE2,0.5294760130636317
13557,TXNL4A,0.5294748402302336,TXNL4A,0.5294748402302336
13558,S1PR3,0.5294737486220499,S1PR3,0.5294737486220499
13559,EHD4,0.5294736258990446,EHD4,0.5294736258990446
13560,SGCZ,0.5294319537128954,SGCZ,0.5294319537128954
13561,RAB40AL,0.5294112558909148,RAB40AL,0.5294112558909148
13562,B3GALNT2,0.5294043725859121,B3GALNT2,0.5294043725859121
13563,OCLM,0.5293884701023306,OCLM,0.5293884701023306
13564,AK294004,0.5293744148997599,AK294004,0.5293744148997599
13565,OR56B1,0.5293618505759718,OR56B1,0.5293618505759718
13566,LRMDA,0.529337456534102,LRMDA,0.529337456534102
13567,DRD1,0.5293121298094096,DRD1,0.5293121298094096
13568,TEX2,0.5292848989839557,TEX2,0.5292848989839557
13569,BLK,0.5292564618210696,BLK,0.5292564618210696
13570,MFAP2,0.5292532993250209,MFAP2,0.5292532993250209
13571,FSTL3,0.5291661050607588,FSTL3,0.5291661050607588
13572,C8A,0.5291527444628658,C8A,0.5291527444628658
13573,LMLN,0.5291524473397168,LMLN,0.5291524473397168
13574,ARHGAP27,0.5291409397057092,ARHGAP27,0.5291409397057092
13575,ANKRD18DP,0.529139130322185,ANKRD18DP,0.529139130322185
13576,WWC2-AS2,0.5291322140150032,WWC2-AS2,0.5291322140150032
13577,ZBBX,0.5291204435404903,ZBBX,0.5291204435404903
13578,abParts,0.5291092283070392,abParts,0.5291092283070392
13579,CASC16,0.5291053502438313,CASC16,0.5291053502438313
13580,TENM3,0.5290828113964425,TENM3,0.5290828113964425
13581,LOC115110,0.529068396186509,LOC115110,0.529068396186509
13582,CACNG6,0.5290627936061171,CACNG6,0.5290627936061171
13583,MYRIP,0.5290619843384794,MYRIP,0.5290619843384794
13584,FGF17,0.529033612456004,FGF17,0.529033612456004
13585,CDKN1B,0.529011864393719,CDKN1B,0.529011864393719
13586,NANP,0.5289913633232859,NANP,0.5289913633232859
13587,PHACTR1,0.5289611772583916,PHACTR1,0.5289611772583916
13588,LOC100130815,0.5289606879847099,LOC100130815,0.5289606879847099
13589,NCRNA00258,0.5289522032701148,NCRNA00258,0.5289522032701148
13590,JMY,0.5289513567371373,JMY,0.5289513567371373
13591,HAO1,0.5289433831234065,HAO1,0.5289433831234065
13592,TNFRSF10A,0.5289088285530585,TNFRSF10A,0.5289088285530585
13593,TMEM121B,0.5288965094211212,TMEM121B,0.5288965094211212
13594,SNORD35A,0.5288845142237638,SNORD35A,0.5288845142237638
13595,WNT8B,0.5288821034322456,WNT8B,0.5288821034322456
13596,LRRC61,0.5288684183861758,LRRC61,0.5288684183861758
13597,TGFBR3L,0.5288633944510873,TGFBR3L,0.5288633944510873
13598,CEACAM21,0.528844277610878,CEACAM21,0.528844277610878
13599,FOSL2,0.5288235524936856,FOSL2,0.5288235524936856
13600,KCNS1,0.5288229205476196,KCNS1,0.5288229205476196
13601,ZNF441,0.5288141198590082,ZNF441,0.5288141198590082
13602,SYDE2,0.5287931813974049,SYDE2,0.5287931813974049
13603,TAF3,0.5287911621866886,TAF3,0.5287911621866886
13604,TCEAL3,0.5287778542711079,TCEAL3,0.5287778542711079
13605,SRR,0.5287764591929027,SRR,0.5287764591929027
13606,WDR89,0.5287750298434382,WDR89,0.5287750298434382
13607,RPP30,0.5287634263151006,RPP30,0.5287634263151006
13608,BPHL,0.5287373383643303,BPHL,0.5287373383643303
13609,C17orf105,0.5287244080298569,C17orf105,0.5287244080298569
13610,CAMK2N2,0.5287063822449372,CAMK2N2,0.5287063822449372
13611,ANKRD42,0.5286984515749545,ANKRD42,0.5286984515749545
